label,group,pw_spearman_r,pw_n_cells,pw_n_pairs,travel_n,travel_total,travel_mean_step,travel_net_disp,travel_n_steps
Cb-CSV vs Cb-SBD2,C. briggsae,0.9300369862570098,248,30628,630,0.2739210251282593,0.6646984797259805,0.5424988064251641,0.627269414179149
Cb-CSV vs Cb-SBD3,C. briggsae,0.9101464859238877,249,30876,635,0.46643345735458963,0.6049244655586734,0.42392524484508554,0.7846172129109218
Ce-tracks vs Ce-SBD,C. elegans,0.9666091649622921,243,29403,647,0.34924422510853814,0.6705481111431891,0.41871623009424763,0.7038222729664864
Cb-CSV vs Ce-tracks,Cross-species,0.902860996106021,173,14878,1132,0.09236946881676401,0.5605822804062783,0.09970376126899254,0.213815089242064
Cb-SBD2 vs Ce-SBD,Cross-species,0.9518557551276757,184,16836,631,0.3240147149152345,0.5962673464338493,0.33440330852408534,0.503209337329898
Cb-CSV vs Ce-SBD,Cross-species,0.9603280247627812,250,31125,643,0.32390138414317793,0.6259219473644441,0.37008749979971967,0.6542459458833805
Ce-tracks vs Cb-SBD2,Cross-species,0.9343545752697979,241,28920,633,0.15048164550338344,0.6701226497060127,0.3923451914555986,0.49434817392411073
